cart_item_id,cart_id,product_id,quantity
1,49,65,1
2,42,87,3
3,16,17,5
4,7,24,5
5,12,11,4
6,33,83,1
7,28,64,3
8,38,13,4
9,16,38,4
10,27,81,1
11,48,89,2
12,12,67,2
13,4,66,3
14,20,29,5
15,13,56,5
16,1,35,5
17,45,90,4
18,41,16,2
19,7,70,1
20,30,72,1
21,33,62,4
22,22,78,1
23,8,43,5
24,45,33,4
25,40,97,3
26,25,49,4
27,17,73,3
28,39,58,3
29,29,9,2
30,45,30,4
31,12,54,2
32,39,35,4
33,5,31,5
34,41,83,2
35,38,49,2
36,23,20,2
37,33,26,2
38,38,23,3
39,4,74,2
40,40,89,4
41,26,72,2
42,9,55,1
43,37,71,5
44,23,20,5
45,2,90,1
46,4,33,5
47,40,93,1
48,7,19,2
49,41,13,5
50,26,88,3
51,21,14,5
52,32,34,2
53,34,18,2
54,46,48,1
55,21,10,1
56,21,91,4
57,24,96,5
58,35,15,2
59,36,17,4
60,24,10,5
61,6,76,1
62,23,21,4
63,47,45,3
64,26,68,5
65,26,20,2
66,40,95,1
67,50,58,4
68,33,49,1
69,11,67,5
70,42,60,4
71,39,22,4
72,32,11,1
73,50,31,5
74,26,63,5
75,9,40,1
76,43,25,1
77,28,100,2
78,32,52,2
79,17,97,4
80,19,71,5
81,45,71,2
82,32,28,2
83,10,100,3
84,47,21,1
85,45,14,5
86,4,74,2
87,31,48,1
88,19,38,3
89,16,67,2
90,33,27,5
91,50,41,1
92,30,81,1
93,30,28,1
94,9,10,1
95,48,1,3
96,24,90,3
97,24,80,3
98,21,17,1
99,38,96,1
100,17,83,5
101,43,91,4
102,46,46,2
103,15,73,3
104,48,4,4
105,4,78,3
106,6,61,5
107,17,98,1
108,8,87,5
109,20,83,4
110,11,42,2
111,33,86,4
112,41,7,2
113,5,76,4
114,22,73,1
115,11,76,1
116,39,84,1
117,14,18,5
118,5,54,2
119,19,89,4
120,6,54,2
121,1,92,4
122,35,23,1
123,20,3,5
124,13,51,5
125,18,87,5
126,28,96,2
127,10,13,1
128,42,74,5
129,6,36,1
130,49,66,3
131,40,79,2
132,15,83,1
133,12,6,2
134,44,71,1
135,46,96,5
136,42,54,5
137,12,32,5
138,2,99,3
139,16,12,5
140,32,84,5
141,19,5,2
142,23,59,3
143,30,50,4
144,24,78,1
145,2,1,3
146,24,88,3
147,32,1,4
148,4,70,1
149,31,31,1
150,33,69,5
