order_item_id,order_id,product_id,quantity,price_per_item
1,24,51,1,95.97
2,90,17,4,94.0
3,25,4,2,63.85
4,67,15,4,31.77
5,16,92,1,6.54
6,28,37,1,43.28
7,48,22,3,34.65
8,82,73,5,10.47
9,46,65,4,44.41
10,85,37,5,67.27
11,7,53,2,90.97
12,41,45,1,61.85
13,11,6,4,9.34
14,9,71,5,14.54
15,99,82,1,69.61
16,4,49,4,51.24
17,92,11,2,66.09
18,72,5,3,33.68
19,83,82,3,64.72
20,31,99,1,21.87
21,1,35,4,52.42
22,74,40,2,16.24
23,98,64,1,47.88
24,25,56,1,49.92
25,90,71,3,28.47
26,8,1,5,51.38
27,38,15,5,49.12
28,60,34,4,8.61
29,70,81,2,69.78
30,66,83,5,80.81
31,69,61,1,79.9
32,53,94,4,22.56
33,59,56,5,77.6
34,47,61,4,98.75
35,60,37,1,7.27
36,66,77,5,45.47
37,72,44,5,60.72
38,36,72,1,29.79
39,83,77,4,69.99
40,85,35,1,48.6
41,91,96,1,78.23
42,69,73,5,97.39
43,24,6,1,22.08
44,55,60,5,95.84
45,74,80,4,87.05
46,89,79,2,29.37
47,17,74,1,30.96
48,89,87,3,11.48
49,46,80,3,26.74
50,15,69,3,96.99
51,56,44,4,53.52
52,45,5,5,64.31
53,49,67,2,89.15
54,40,76,3,88.3
55,11,58,2,28.51
56,89,59,3,50.1
57,32,51,4,22.76
58,54,20,4,28.17
59,33,11,5,42.24
60,47,50,3,59.35
61,14,87,4,26.31
62,58,40,2,94.23
63,72,18,3,21.5
64,75,63,5,79.31
65,25,75,3,23.74
66,4,67,5,79.23
67,53,21,2,35.5
68,1,11,5,16.26
69,90,82,1,26.82
70,7,67,1,10.56
71,68,36,4,17.13
72,85,27,3,75.82
73,67,72,2,24.09
74,14,5,3,82.5
75,64,25,4,25.94
76,84,57,2,16.6
77,16,63,5,83.33
78,33,84,2,19.26
79,80,58,3,11.55
80,17,32,5,21.93
81,11,51,1,41.01
82,9,21,5,76.94
83,74,80,2,23.15
84,3,65,5,61.35
85,93,41,2,21.9
86,63,98,4,10.25
87,27,98,2,91.96
88,46,86,2,71.9
89,1,13,4,91.22
90,86,96,2,66.34
91,21,44,5,40.2
92,78,80,5,55.81
93,54,47,4,32.87
94,43,87,3,33.72
95,88,90,4,41.36
96,7,22,4,26.9
97,74,36,2,83.21
98,97,7,3,45.34
99,7,55,4,83.29
100,48,79,5,84.93
101,50,56,4,6.2
102,53,55,1,16.37
103,88,3,5,87.77
104,10,20,5,82.49
105,64,16,5,44.97
106,49,34,4,31.04
107,72,21,3,49.42
108,86,72,4,92.34
109,55,88,3,16.96
110,15,100,2,27.84
111,68,94,3,81.22
112,75,96,2,74.24
113,89,92,3,18.69
114,100,48,1,98.74
115,77,20,5,9.77
116,8,66,5,23.29
117,61,3,1,66.41
118,64,97,2,8.39
119,44,85,4,68.65
120,21,56,1,37.35
121,20,65,1,17.36
122,49,84,3,99.62
123,32,68,2,44.74
124,60,1,1,91.27
125,11,78,3,95.19
126,14,60,2,56.08
127,3,30,3,18.74
128,77,97,3,56.09
129,12,20,2,18.79
130,14,56,1,96.34
131,43,67,5,22.55
132,85,62,3,78.85
133,72,89,2,97.12
134,84,1,5,75.94
135,59,41,5,82.45
136,81,62,3,44.41
137,6,84,2,50.61
138,2,37,5,11.24
139,73,62,5,90.24
140,81,93,4,63.84
141,92,6,4,35.4
142,5,73,3,92.69
143,70,79,3,99.34
144,43,37,2,7.76
145,26,98,4,29.62
146,2,59,3,80.33
147,76,82,5,69.13
148,45,68,2,33.75
149,49,1,1,9.05
150,16,42,3,29.46
151,28,60,4,8.08
152,23,86,4,20.49
153,38,80,3,47.05
154,65,37,2,20.97
155,2,68,2,24.37
156,93,78,3,29.53
157,65,67,3,6.11
158,39,31,3,42.16
159,19,50,5,28.74
160,88,57,4,70.3
161,89,35,4,55.08
162,72,19,4,21.1
163,81,25,1,95.56
164,84,88,1,64.8
165,66,15,3,95.71
166,77,14,2,48.67
167,14,22,1,8.79
168,29,8,2,73.02
169,27,25,1,97.89
170,23,19,4,11.34
171,28,13,2,13.54
172,69,30,3,85.25
173,32,13,2,35.64
174,34,87,1,92.3
175,44,55,4,40.8
176,50,89,3,96.63
177,43,88,2,88.19
178,85,71,2,52.7
179,32,41,2,39.98
180,93,12,1,27.63
181,49,99,1,74.38
182,51,48,3,11.96
183,98,87,2,77.97
184,72,49,5,78.26
185,86,46,3,96.8
186,93,21,2,94.37
187,100,47,1,69.93
188,60,45,5,72.71
189,83,25,1,35.59
190,65,70,2,72.22
191,89,67,4,20.79
192,9,29,2,81.64
193,73,94,3,67.86
194,19,92,2,7.63
195,81,16,2,59.18
196,71,65,1,63.53
197,46,66,4,5.53
198,69,88,1,60.15
199,49,62,3,85.13
200,56,86,2,48.78
