order_id,customer_id,order_status,order_date,total_amount
1,83,Processing,2024-08-22 21:37:31,225.71
2,72,Cancelled,2024-07-28 03:35:03,112.53
3,44,Cancelled,2024-04-13 12:51:23,47.06
4,22,Shipped,2024-08-31 22:10:45,269.21
5,12,Shipped,2024-07-24 13:46:38,371.92
6,40,Cancelled,2024-05-17 17:02:58,106.39
7,17,Cancelled,2024-01-17 19:58:47,184.65
8,28,Shipped,2024-02-18 01:56:33,340.51
9,12,Pending,2024-07-10 13:32:39,318.28
10,89,Cancelled,2024-04-04 12:59:38,361.07
11,22,Cancelled,2024-02-12 19:20:02,226.25
12,60,Processing,2024-04-23 01:35:07,472.61
13,19,Cancelled,2024-06-13 19:38:14,369.72
14,66,Pending,2024-08-13 17:23:48,289.03
15,57,Shipped,2024-05-30 09:22:56,497.4
16,15,Cancelled,2024-08-08 23:11:59,223.68
17,40,Delivered,2024-02-13 00:39:05,437.25
18,66,Delivered,2024-07-03 17:33:50,320.82
19,54,Shipped,2024-01-14 13:29:33,458.22
20,2,Pending,2024-06-03 23:00:31,262.8
21,7,Pending,2024-07-06 23:38:12,403.48
22,69,Shipped,2024-03-27 16:18:44,37.86
23,26,Shipped,2024-07-17 09:16:36,88.51
24,7,Cancelled,2024-05-24 22:51:00,77.48
25,39,Pending,2024-05-05 18:46:06,214.11
26,11,Pending,2024-02-08 12:18:55,343.98
27,14,Cancelled,2024-06-15 02:16:29,342.01
28,5,Delivered,2024-03-02 12:35:49,57.1
29,62,Processing,2024-08-29 07:20:34,283.98
30,19,Shipped,2024-03-24 03:51:48,475.36
31,12,Shipped,2024-06-29 17:17:00,165.23
32,67,Delivered,2024-07-01 07:26:40,400.45
33,44,Cancelled,2024-08-01 12:33:58,252.78
34,75,Processing,2024-08-10 09:34:03,399.6
35,35,Pending,2024-04-27 00:08:52,205.82
36,60,Pending,2024-08-27 12:19:55,205.67
37,18,Delivered,2024-09-07 14:49:32,120.14
38,29,Delivered,2024-02-06 12:45:02,266.87
39,7,Delivered,2024-07-19 13:43:17,70.61
40,34,Shipped,2024-02-11 06:19:06,313.84
41,86,Pending,2024-02-13 07:59:10,264.82
42,68,Pending,2024-02-26 07:24:51,225.5
43,30,Shipped,2024-03-16 15:24:45,411.42
44,47,Processing,2024-08-12 16:16:45,370.15
45,65,Cancelled,2024-07-18 14:20:08,266.81
46,93,Cancelled,2024-04-25 23:14:09,292.55
47,84,Delivered,2024-01-30 13:26:38,32.11
48,24,Pending,2024-08-09 18:36:25,170.14
49,66,Delivered,2024-07-21 06:13:46,183.42
50,53,Cancelled,2024-06-12 11:54:13,379.1
51,14,Cancelled,2024-05-13 16:00:53,64.69
52,18,Shipped,2024-04-07 22:16:30,460.13
53,10,Pending,2024-01-09 12:59:58,99.73
54,1,Cancelled,2024-04-23 13:54:58,268.16
55,4,Pending,2024-03-20 13:41:10,273.53
56,58,Processing,2024-09-08 11:41:02,278.57
57,36,Cancelled,2024-03-13 17:04:08,283.82
58,69,Shipped,2024-01-29 08:33:05,321.48
59,98,Shipped,2024-06-25 08:06:10,69.51
60,54,Processing,2024-08-24 09:29:30,487.66
61,99,Cancelled,2024-03-23 08:42:16,429.06
62,29,Pending,2024-01-03 06:05:36,278.66
63,34,Delivered,2024-04-03 07:53:38,467.06
64,38,Processing,2024-01-27 10:14:30,169.16
65,78,Shipped,2024-02-22 02:25:06,116.8
66,62,Shipped,2024-04-06 09:02:52,203.08
67,37,Pending,2024-03-03 03:02:14,493.88
68,38,Pending,2024-01-06 14:33:45,182.17
69,38,Cancelled,2024-01-10 03:21:51,216.56
70,36,Cancelled,2024-01-08 14:11:16,163.68
71,65,Processing,2024-04-05 01:23:59,289.1
72,65,Processing,2024-08-08 18:57:17,129.16
73,29,Cancelled,2024-08-04 00:00:22,304.16
74,97,Delivered,2024-04-14 07:22:09,340.08
75,3,Processing,2024-04-18 02:04:03,442.94
76,41,Processing,2024-05-22 04:47:05,350.09
77,42,Shipped,2024-01-05 02:11:02,320.12
78,42,Cancelled,2024-08-10 06:50:17,266.4
79,42,Processing,2024-03-26 06:47:57,492.3
80,15,Delivered,2024-01-25 20:10:47,206.89
81,62,Shipped,2024-08-29 16:09:03,180.08
82,95,Delivered,2024-08-20 22:02:08,243.33
83,17,Cancelled,2024-05-06 20:08:00,189.9
84,39,Pending,2024-05-06 01:57:08,177.12
85,20,Pending,2024-01-14 18:37:28,129.95
86,23,Cancelled,2024-01-24 08:41:13,165.36
87,53,Shipped,2024-05-11 00:06:37,399.24
88,10,Pending,2024-02-14 04:26:49,59.46
89,80,Cancelled,2024-01-26 04:49:33,129.96
90,53,Shipped,2024-03-23 11:01:50,402.65
91,22,Processing,2024-01-30 12:46:14,335.72
92,34,Pending,2024-05-26 14:51:16,168.52
93,7,Pending,2024-01-28 18:26:11,180.57
94,14,Pending,2024-06-25 13:37:03,168.27
95,44,Pending,2024-08-29 00:18:01,149.41
96,7,Processing,2024-04-11 22:32:51,193.63
97,29,Processing,2024-08-08 08:15:26,287.68
98,91,Cancelled,2024-07-11 14:19:51,368.11
99,44,Processing,2024-01-03 00:48:14,254.2
100,60,Pending,2024-03-13 06:09:14,222.41
