product_id,product_name,category,stock_quantity,price,supplier_id
1,Product 1,Category 6,51,65.61,10
2,Product 2,Category 6,70,88.9,3
3,Product 3,Category 3,53,74.08,9
4,Product 4,Category 10,16,54.49,3
5,Product 5,Category 7,92,16.66,9
6,Product 6,Category 7,81,18.12,6
7,Product 7,Category 5,99,17.77,8
8,Product 8,Category 6,68,58.54,7
9,Product 9,Category 2,17,24.32,6
10,Product 10,Category 8,96,85.89,3
11,Product 11,Category 1,60,86.66,8
12,Product 12,Category 5,70,76.33,3
13,Product 13,Category 6,75,84.48,4
14,Product 14,Category 2,23,59.76,6
15,Product 15,Category 10,21,35.57,1
16,Product 16,Category 3,91,82.42,4
17,Product 17,Category 8,50,90.95,7
18,Product 18,Category 10,55,74.76,6
19,Product 19,Category 2,93,20.25,1
20,Product 20,Category 6,49,87.83,8
21,Product 21,Category 8,32,21.01,6
22,Product 22,Category 4,11,32.13,7
23,Product 23,Category 6,84,68.12,8
24,Product 24,Category 7,78,66.18,1
25,Product 25,Category 10,31,90.58,2
26,Product 26,Category 10,48,69.22,8
27,Product 27,Category 2,13,44.58,3
28,Product 28,Category 10,91,36.81,2
29,Product 29,Category 2,39,17.35,5
30,Product 30,Category 8,14,39.16,1
31,Product 31,Category 3,53,31.9,3
32,Product 32,Category 4,20,96.54,2
33,Product 33,Category 3,68,6.69,7
34,Product 34,Category 8,34,86.44,7
35,Product 35,Category 6,43,30.26,6
36,Product 36,Category 5,63,20.32,3
37,Product 37,Category 8,57,67.69,4
38,Product 38,Category 7,12,43.04,2
39,Product 39,Category 9,27,46.57,8
40,Product 40,Category 2,58,8.96,2
41,Product 41,Category 5,60,59.76,8
42,Product 42,Category 1,83,75.17,9
43,Product 43,Category 1,12,76.76,5
44,Product 44,Category 7,38,72.26,10
45,Product 45,Category 9,22,14.15,3
46,Product 46,Category 5,52,66.47,6
47,Product 47,Category 3,61,95.63,8
48,Product 48,Category 5,20,73.57,1
49,Product 49,Category 9,54,21.81,6
50,Product 50,Category 5,77,94.56,5
51,Product 51,Category 8,62,8.23,10
52,Product 52,Category 9,73,40.67,1
53,Product 53,Category 4,44,64.35,8
54,Product 54,Category 9,57,78.0,8
55,Product 55,Category 8,98,81.16,9
56,Product 56,Category 5,52,25.53,4
57,Product 57,Category 10,99,6.75,3
58,Product 58,Category 6,28,96.45,7
59,Product 59,Category 8,61,66.02,8
60,Product 60,Category 10,57,99.13,2
61,Product 61,Category 9,17,19.43,10
62,Product 62,Category 3,36,31.91,1
63,Product 63,Category 1,18,9.37,6
64,Product 64,Category 1,32,51.71,5
65,Product 65,Category 8,60,82.91,7
66,Product 66,Category 7,59,18.1,7
67,Product 67,Category 3,89,96.94,9
68,Product 68,Category 7,54,92.41,6
69,Product 69,Category 5,39,52.86,4
70,Product 70,Category 2,70,31.25,7
71,Product 71,Category 7,37,19.84,1
72,Product 72,Category 8,43,67.38,2
73,Product 73,Category 9,17,90.49,10
74,Product 74,Category 6,46,86.01,4
75,Product 75,Category 5,38,78.64,8
76,Product 76,Category 7,93,94.39,8
77,Product 77,Category 7,57,24.82,4
78,Product 78,Category 5,80,71.55,8
79,Product 79,Category 4,79,96.23,8
80,Product 80,Category 1,30,81.34,3
81,Product 81,Category 10,54,60.36,1
82,Product 82,Category 4,60,71.88,6
83,Product 83,Category 2,16,77.69,9
84,Product 84,Category 5,63,90.46,10
85,Product 85,Category 6,96,78.38,2
86,Product 86,Category 4,36,61.8,10
87,Product 87,Category 3,23,79.47,10
88,Product 88,Category 10,27,9.46,1
89,Product 89,Category 2,45,11.73,7
90,Product 90,Category 6,70,71.32,9
91,Product 91,Category 6,54,11.18,4
92,Product 92,Category 8,43,74.79,2
93,Product 93,Category 9,10,75.79,5
94,Product 94,Category 10,95,76.62,2
95,Product 95,Category 3,45,74.17,2
96,Product 96,Category 5,23,96.33,7
97,Product 97,Category 3,62,38.19,7
98,Product 98,Category 6,25,6.74,10
99,Product 99,Category 6,64,94.02,5
100,Product 100,Category 5,47,84.64,7
