cart_id,customer_id,created_at,updated_at
1,55,2024-05-23 15:22:16,2024-05-04 22:57:29
2,90,2024-01-04 13:11:13,2024-03-22 01:11:05
3,56,2024-09-04 00:15:49,2024-02-23 08:29:32
4,91,2024-03-25 00:05:02,2024-08-24 00:04:23
5,20,2024-05-19 07:47:23,2024-02-11 01:32:39
6,90,2024-02-24 18:14:10,2024-02-09 23:08:18
7,91,2024-02-08 14:07:57,2024-07-06 20:47:38
8,96,2024-02-22 12:01:35,2024-06-03 11:45:03
9,23,2024-04-23 05:14:35,2024-03-19 22:49:48
10,78,2024-01-09 07:07:12,2024-03-26 23:21:50
11,26,2024-08-31 21:49:37,2024-03-11 15:25:05
12,4,2024-07-17 13:59:27,2024-08-11 09:26:08
13,22,2024-08-02 20:40:21,2024-08-10 16:53:05
14,62,2024-07-14 12:09:27,2024-03-21 09:43:57
15,36,2024-05-02 17:54:47,2024-02-22 20:29:37
16,58,2024-01-10 23:43:01,2024-01-08 08:32:46
17,70,2024-05-26 19:39:59,2024-05-26 08:54:41
18,6,2024-03-29 21:20:30,2024-01-24 05:20:42
19,67,2024-08-17 11:16:46,2024-07-01 17:56:02
20,50,2024-06-18 15:44:54,2024-01-28 22:08:42
21,46,2024-02-09 23:44:18,2024-06-15 06:47:17
22,55,2024-06-07 01:37:47,2024-07-20 14:30:13
23,24,2024-05-22 05:57:33,2024-04-19 19:18:33
24,41,2024-06-30 03:46:26,2024-07-29 12:56:21
25,19,2024-05-07 11:27:26,2024-06-25 01:18:38
26,25,2024-06-20 09:23:05,2024-08-25 00:54:33
27,66,2024-05-02 20:58:12,2024-08-02 21:11:35
28,48,2024-01-12 17:46:07,2024-06-06 15:16:06
29,11,2024-08-31 22:29:17,2024-04-02 19:36:39
30,97,2024-07-10 06:18:28,2024-07-05 14:18:45
31,96,2024-02-10 15:26:30,2024-08-22 11:11:51
32,36,2024-01-08 17:15:55,2024-08-26 14:59:32
33,74,2024-08-07 00:05:44,2024-03-23 20:04:12
34,91,2024-01-03 11:39:11,2024-07-03 19:29:15
35,25,2024-08-11 12:52:00,2024-09-02 22:23:31
36,42,2024-07-01 05:18:37,2024-06-17 20:45:35
37,49,2024-05-07 01:56:07,2024-04-27 01:53:54
38,26,2024-05-17 18:20:07,2024-07-26 20:03:21
39,16,2024-01-02 21:19:53,2024-08-03 14:39:24
40,22,2024-03-26 03:04:27,2024-05-16 10:20:46
41,75,2024-04-23 09:12:47,2024-03-22 01:53:51
42,71,2024-02-25 07:17:45,2024-06-07 17:06:59
43,99,2024-04-13 18:19:20,2024-01-05 16:37:30
44,77,2024-05-30 10:41:25,2024-05-14 19:04:42
45,42,2024-08-28 15:02:08,2024-05-20 20:20:24
46,24,2024-06-17 00:33:58,2024-06-11 20:17:26
47,25,2024-05-21 21:59:28,2024-04-24 13:45:55
48,21,2024-08-12 00:56:55,2024-02-15 16:28:05
49,77,2024-01-06 16:19:20,2024-07-09 09:58:55
50,70,2024-06-04 05:17:55,2024-01-12 22:20:30
